Date,Value
2005-09-07,1000
2005-09-17,
2005-09-27,1002
2005-10-07,1002
2005-10-17,1004
2005-10-27,1005
2005-11-06,1006
2005-11-16,1006
2005-11-26,1007.428571
2005-12-06,1008.357143
2005-12-16,1009.285714
2005-12-26,1010.214286
2006-01-05,1011.142857
2006-01-15,
2006-01-25,1013
2006-02-04,1013.928571
2006-02-14,1014.857143
2006-02-24,
2006-03-06,1016.714286
2006-03-16,1017.642857
2006-03-26,1018.571429
2006-04-05,1019.5
2006-04-15,1020.428571
2006-04-25,1021.357143
2006-05-05,1022.285714
2006-05-15,
2006-05-25,1024.142857
2006-06-04,1025.071429
2006-06-14,1026
2006-06-24,1026.928571
2006-07-04,
2006-07-14,1028.785714
2006-07-24,1029.714286
2006-08-03,1030.642857
